%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2019 167 0 0 -999 -999 -999 -999 -999 8 68 19 101 0 0 0 -999 -999 -999 -999 -999 0 0 -999
2019 178 1 0 -999 -999 -999 -999 -999 9 65 20 102 0 0 0 -999 -999 -999 -999 -999 0 0 -999
2019 162 2 0 -999 -999 -999 -999 -999 3 91 18 100 0 0 0 -999 -999 -999 -999 -999 0 0 -999
2019 161 3 0 -999 -999 -999 -999 -999 6 48 18 101 0 0 0 -999 -999 -999 -999 -999 0 0 -999
2019 169 4 0 -999 -999 -999 -999 -999 4 75 15 101 0 0 0 -999 -999 -999 -999 -999 0 0 -999
2019 167 5 0 -999 -999 -999 -999 -999 5 75 15 101 0 41 0 -999 -999 -999 -999 -999 26 15 -999
2019 171 6 0 -999 -999 -999 -999 -999 4 62 20 100 0 143 0 -999 -999 -999 -999 -999 57 86 -999
2019 160 7 0 -999 -999 -999 -999 -999 5 49 16 102 0 283 0 -999 -999 -999 -999 -999 95 188 -999
2019 152 8 0 -999 -999 -999 -999 -999 6 60 21 102 0 325 0 -999 -999 -999 -999 -999 134 191 -999
2019 175 9 0 -999 -999 -999 -999 -999 7 32 24 102 0 581 0 -999 -999 -999 -999 -999 116 465 -999
2019 179 10 0 -999 -999 -999 -999 -999 6 55 18 102 0 315 0 -999 -999 -999 -999 -999 257 58 -999
2019 169 11 0 -999 -999 -999 -999 -999 10 25 28 101 0 769 0 -999 -999 -999 -999 -999 144 625 -999
2019 174 12 0 -999 -999 -999 -999 -999 10 27 26 102 0 817 0 -999 -999 -999 -999 -999 144 673 -999
2019 156 13 0 -999 -999 -999 -999 -999 10 21 33 100 0 760 0 -999 -999 -999 -999 -999 185 575 -999
2019 165 14 0 -999 -999 -999 -999 -999 7 22 30 101 0 783 0 -999 -999 -999 -999 -999 140 643 -999
2019 168 15 0 -999 -999 -999 -999 -999 3 29 27 102 0 459 0 -999 -999 -999 -999 -999 197 262 -999
2019 176 16 0 -999 -999 -999 -999 -999 8 22 34 101 0 591 0 -999 -999 -999 -999 -999 155 436 -999
2019 163 17 0 -999 -999 -999 -999 -999 12 44 28 100 0 243 0 -999 -999 -999 -999 -999 155 88 -999
2019 175 18 0 -999 -999 -999 -999 -999 8 16 30 102 0 340 0 -999 -999 -999 -999 -999 89 251 -999
2019 178 19 0 -999 -999 -999 -999 -999 10 42 22 102 0 181 0 -999 -999 -999 -999 -999 68 113 -999
2019 158 20 0 -999 -999 -999 -999 -999 5 53 23 101 0 52 0 -999 -999 -999 -999 -999 29 23 -999
2019 175 21 0 -999 -999 -999 -999 -999 4 35 23 102 0 4 0 -999 -999 -999 -999 -999 4 0 -999
2019 152 22 0 -999 -999 -999 -999 -999 3 53 20 101 0 0 0 -999 -999 -999 -999 -999 0 0 -999
2019 167 23 0 -999 -999 -999 -999 -999 2 73 16 102 0 0 0 -999 -999 -999 -999 -999 0 0 -999
