Hour,Solar_Elevation,Zenith,Azimuth
5,1.439233837,1.545676958,51.28379965
6,8.806212758,1.41709892,62.55468876
7,17.15660998,1.271356994,74.46588667
8,25.66867254,1.122793476,86.68335707
9,35.13477889,0.957578753,96.77393818
10,43.77344945,0.806805509,110.3708997
11,52.13353574,0.660894477,127.7106321
12,58.1330933,0.556182444,149.0287865
13,60.06284866,0.52250186,177.5848155
14,59.0972271,0.539355135,204.2015081
15,53.91151398,0.629862903,227.1855547
16,46.56357498,0.758108632,244.7365848
17,37.30376639,0.91972278,259.6434255
18,28.7927901,1.068267339,271.6767105
19,19.78456734,1.225490486,282.8842581
20,10.16302631,1.393418056,294.4567499
21,3.375504512,1.511882659,305.5304303
